     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;     4026914.300;     6321398.700;     4163380.303;      423766.038 ( 10.178 %);     18.325
       IKJ;         234.375;           0.229;           0.000;        100;         10;     3655140.600;     6078861.000;     3810244.124;      488201.089 ( 12.813 %);     20.023
       IEX;         234.375;           0.229;           0.000;        100;         10;     2906476.800;     5805467.700;     3017673.373;      502195.389 ( 16.642 %);     25.282
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;     2393626.800;     2547920.400;     2405326.355;       26659.406 (  1.108 %);     31.719
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;     2337201.800;     2531452.200;     2359557.630;       40157.157 (  1.702 %);     32.334
     CBLAS;         234.375;           0.229;           0.000;        100;         10;      790696.400;      807077.300;      792920.388;        3371.966 (  0.425 %);     96.219
