     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;     1026948.100;     1111629.200;     1035886.939;       14826.917 (  1.431 %);     73.651
       IKJ;         234.375;           0.229;           0.000;        100;         10;      327803.300;      341181.800;      330870.585;        2356.562 (  0.712 %);    230.585
       IEX;         234.375;           0.229;           0.000;        100;         10;      333761.800;      346886.600;      341002.579;        2690.427 (  0.789 %);    223.734
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      541746.300;      556483.700;      544023.361;        3169.188 (  0.583 %);    140.240
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      533519.300;      570862.100;      543171.445;       11882.969 (  2.188 %);    140.460
     CBLAS;         234.375;           0.229;           0.000;        100;         10;      790403.300;      899846.300;      797568.591;       19338.213 (  2.425 %);     95.658
