     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;     1126638.000;     1216555.700;     1135832.076;       16180.483 (  1.425 %);     67.170
       IKJ;         234.375;           0.229;           0.000;        100;         10;      810804.000;      821984.700;      812572.036;        2727.538 (  0.336 %);     93.892
       IEX;         234.375;           0.229;           0.000;        100;         10;     1161754.700;     1264625.400;     1181583.085;       26129.093 (  2.211 %);     64.569
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      606737.700;      681611.200;      613348.785;       13388.263 (  2.183 %);    124.389
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      611946.100;      622524.500;      614340.748;        2406.496 (  0.392 %);    124.188
     CBLAS;         234.375;           0.229;           0.000;        100;         10;      790459.300;      802905.900;      792104.648;        2529.217 (  0.319 %);     96.318
