     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;     1126759.000;     1197398.800;     1134832.955;       12444.981 (  1.097 %);     67.229
       IKJ;         234.375;           0.229;           0.000;        100;         10;      620851.000;      632108.400;      623635.464;        2760.100 (  0.443 %);    122.337
       IEX;         234.375;           0.229;           0.000;        100;         10;      620545.700;      648297.500;      626636.194;        8104.875 (  1.293 %);    121.752
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      558040.100;      661603.300;      572429.406;       20677.441 (  3.612 %);    133.281
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      607721.900;      624793.000;      610142.839;        3669.992 (  0.601 %);    125.043
     CBLAS;         234.375;           0.229;           0.000;        100;         10;      790456.700;      896302.700;      797603.752;       18885.306 (  2.368 %);     95.654
