     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;      743814.300;      800685.900;      758587.155;       14341.209 (  1.891 %);    100.574
       IKJ;         234.375;           0.229;           0.000;        100;         10;      369499.300;      389451.500;      373696.712;        3771.600 (  1.009 %);    204.160
       IEX;         234.375;           0.229;           0.000;        100;         10;      280514.400;      308571.000;      284831.409;        4797.661 (  1.684 %);    267.857
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      349027.800;      452019.700;      363636.364;       17060.338 (  4.692 %);    209.808
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      341231.500;      355863.100;      346401.606;        3583.116 (  1.034 %);    220.247
     CBLAS;         234.375;           0.229;           0.000;        100;         10;      796846.900;      902100.300;      807605.245;       20443.817 (  2.531 %);     94.469
