     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;     1130434.600;     1150536.500;     1135812.139;        4962.526 (  0.437 %);     67.171
       IKJ;         234.375;           0.229;           0.000;        100;         10;      785944.200;      800527.100;      788487.764;        3963.104 (  0.503 %);     96.760
       IEX;         234.375;           0.229;           0.000;        100;         10;      785654.100;     1179376.100;      802673.758;       68227.084 (  8.500 %);     95.050
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      571347.900;      655370.700;      581996.139;       16876.797 (  2.900 %);    131.090
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      608598.400;      621817.200;      613098.006;        3124.426 (  0.510 %);    124.440
     CBLAS;         234.375;           0.229;           0.000;        100;         10;      790267.900;      801375.500;      791991.788;        2516.092 (  0.318 %);     96.332
