     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;     1023538.600;     1105446.100;     1044796.285;       22766.185 (  2.179 %);     73.023
       IKJ;         234.375;           0.229;           0.000;        100;         10;      323830.500;      345520.400;      331358.648;        3426.140 (  1.034 %);    230.246
       IEX;         234.375;           0.229;           0.000;        100;         10;      323557.300;      334849.100;      330113.070;        1787.874 (  0.542 %);    231.115
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      539689.500;      621446.900;      553827.461;       14998.844 (  2.708 %);    137.758
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      539412.100;      569348.300;      552326.518;        9127.256 (  1.653 %);    138.132
     CBLAS;         234.375;           0.229;           0.000;        100;         10;      796696.500;      926484.100;      819312.842;       22541.545 (  2.751 %);     93.119
