     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;     4682462.900;     7952917.500;     4885315.042;      684973.764 ( 14.021 %);     15.617
       IKJ;         234.375;           0.229;           0.000;        100;         10;     4546605.200;     8071985.000;     4682709.339;      610795.882 ( 13.044 %);     16.293
       IEX;         234.375;           0.229;           0.000;        100;         10;     3612091.100;     6718927.500;     3747013.682;      541932.486 ( 14.463 %);     20.361
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;     3235214.500;     3414018.700;     3258286.933;       36998.864 (  1.136 %);     23.415
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;     3068170.600;     6487551.800;     3211034.694;      590829.343 ( 18.400 %);     23.760
     CBLAS;         234.375;           0.229;           0.000;        100;         10;      791073.900;      808070.600;      793073.088;        3533.792 (  0.446 %);     96.200
