     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;    62673377.666;        3230.275;        4683.690;        3474.072;         344.895 (  9.928 %);   2196.096
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;      129658.414;       12884.790;       14957.430;       13281.208;         517.820 (  3.899 %);    574.450
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;      297902.613;       25832.260;       26642.865;       25915.615;         159.864 (  0.617 %);    294.394
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;       83365.101;        1410.825;        1517.815;        1419.305;          24.159 (  1.702 %);   5375.446
