     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;       52360.291;        1400.945;        1638.080;        1418.532;          57.281 (  4.038 %);   5378.373
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;      214388.479;        5682.745;        5903.895;        5707.254;          60.576 (  1.061 %);   1336.789
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;     2826614.926;       11417.110;       11696.510;       11467.532;          83.873 (  0.731 %);    665.304
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;       48972.084;        1406.505;        1589.585;        1417.347;          36.827 (  2.598 %);   5382.871
