     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;      159597.477;        1397.790;        1640.715;        1417.810;          64.019 (  4.515 %);   5381.114
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;      291864.061;        5695.770;        5977.765;        5727.063;          76.819 (  1.341 %);   1332.165
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;      440052.041;       11421.620;       11924.640;       11473.012;         107.340 (  0.936 %);    664.986
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;       40784.955;        1407.245;        1438.885;        1409.823;           6.431 (  0.456 %);   5411.596
