     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;      103525.511;        1399.260;        1619.215;        1412.655;          52.710 (  3.731 %);   5400.750
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;      188889.590;        5695.595;        6738.575;        5850.318;         258.712 (  4.422 %);   1304.099
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;      276873.510;       11423.320;       11614.745;       11445.021;          45.088 (  0.394 %);    666.613
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;       39804.147;        1407.940;        1467.510;        1413.037;          11.033 (  0.781 %);   5399.290
