     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;       41649.508;        3225.485;        3475.410;        3259.385;          76.619 (  2.351 %);   2340.746
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;      175870.462;       12886.785;       13096.140;       12923.340;          62.405 (  0.483 %);    590.358
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;     1702655.979;       25784.505;       26411.230;       25866.963;         163.816 (  0.633 %);    294.947
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;       58511.860;        1410.380;        1443.235;        1412.649;           6.506 (  0.461 %);   5400.771
