     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;      100391.279;        1387.540;        1646.685;        1401.611;          56.248 (  4.013 %);   5443.304
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;      124035.744;        5660.845;        5883.680;        5683.599;          60.123 (  1.058 %);   1342.353
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;     1208679.095;       11390.745;       13586.585;       11556.281;         438.388 (  3.794 %);    660.195
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;       71686.253;        1406.595;        1448.290;        1409.620;           8.514 (  0.604 %);   5412.375
