     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;       40428.900;        1398.470;        1639.960;        1412.096;          54.210 (  3.839 %);   5402.886
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;      190297.136;        5679.535;        5897.875;        5698.821;          50.714 (  0.890 %);   1338.767
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;      395501.053;       11415.605;       11606.400;       11435.147;          44.765 (  0.391 %);    667.188
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;       43605.237;        1406.255;        1597.330;        1414.272;          33.975 (  2.402 %);   5394.574
