     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;       99035.637;         355.555;         594.565;         362.996;          41.576 ( 11.453 %);  21017.826
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;      473063.340;        2859.035;        3075.575;        2881.231;          61.721 (  2.142 %);   2647.964
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;      264699.942;        3228.620;        3267.885;        3234.308;          13.248 (  0.410 %);   2358.895
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;      445112.789;        1406.745;        1434.145;        1409.136;           6.710 (  0.476 %);   5414.234
