     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;       62115.618;        1396.700;        1631.855;        1418.632;          63.471 (  4.474 %);   5377.995
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;      617175.616;        5681.125;        5911.345;        5699.624;          52.142 (  0.915 %);   1338.579
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;    13198886.637;       11413.875;       11609.605;       11439.523;          54.088 (  0.473 %);    666.933
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;       46689.596;        1404.220;        1433.040;        1406.501;           5.933 (  0.422 %);   5424.381
