     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;        7103.583;        1367.255;        1604.625;        1380.591;          52.700 (  3.817 %);   5526.180
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;        9059.702;        1358.100;        1629.305;        1382.673;          67.990 (  4.917 %);   5517.857
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;        8206.919;        1357.880;        1562.525;        1371.680;          48.591 (  3.542 %);   5562.079
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;        8106.381;        1417.415;        1694.935;        1433.660;          59.022 (  4.117 %);   5321.621
