     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;        7764.979;        3215.185;        3475.170;        3253.783;          79.683 (  2.449 %);   2344.776
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;        6081.819;        3207.995;        3484.335;        3253.506;          87.400 (  2.686 %);   2344.976
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;       15346.991;        3200.330;        3467.130;        3235.552;          75.715 (  2.340 %);   2357.988
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;       13919.939;        1418.095;        1593.770;        1426.297;          30.868 (  2.164 %);   5349.093
