     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;        7422.357;        1367.985;        1580.645;        1387.290;          61.006 (  4.398 %);   5499.494
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;        6093.758;        1359.290;        1564.680;        1377.241;          42.579 (  3.092 %);   5539.622
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;        7271.228;        1358.580;        1567.010;        1371.187;          42.629 (  3.109 %);   5564.082
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;       73730.709;        1417.960;        1652.040;        1432.920;          54.462 (  3.801 %);   5324.370
