     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;        5644.129;        1368.310;        1609.450;        1388.692;          64.781 (  4.665 %);   5493.945
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;        6741.657;        1359.295;        1578.265;        1382.389;          57.234 (  4.140 %);   5518.994
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;        6757.469;        1361.610;        1566.825;        1374.127;          46.252 (  3.366 %);   5552.178
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;        9533.953;        1417.630;        1705.670;        1433.966;          60.457 (  4.216 %);   5320.485
