     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;        6352.465;         244.720;         246.185;         245.000;           0.247 (  0.101 %);  31140.386
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;        7330.108;         266.400;         487.160;         273.350;          38.383 ( 14.042 %);  27910.748
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;       10796.335;         193.825;         210.775;         194.565;           2.994 (  1.539 %);  39212.483
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;        7729.521;        1417.330;        1632.320;        1437.508;          59.968 (  4.172 %);   5307.375
