     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;       20400.239;         661.770;         838.580;         668.423;          31.042 (  4.644 %);  11414.024
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;        7332.426;         362.370;         362.780;         362.489;           0.079 (  0.022 %);  21047.265
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;        6685.597;         536.260;         740.530;         542.600;          35.532 (  6.548 %);  14060.800
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;       11919.930;        1418.295;        1616.635;        1440.334;          47.398 (  3.291 %);   5296.963
