     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;       11018.413;        1359.355;        1595.080;        1374.936;          54.054 (  3.931 %);   5548.909
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;        9815.007;        1360.285;        1582.180;        1379.600;          61.631 (  4.467 %);   5530.151
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;        9861.482;        1359.625;        1568.590;        1372.336;          49.652 (  3.618 %);   5559.422
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;        7848.437;        1419.780;        1623.760;        1433.362;          47.936 (  3.344 %);   5322.726
