     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;        8177.274;        1364.205;        1589.745;        1378.706;          45.950 (  3.333 %);   5533.735
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;        9393.272;        1359.390;        1565.615;        1377.414;          49.581 (  3.600 %);   5538.926
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;        6044.961;        1360.630;        1633.010;        1381.822;          67.364 (  4.875 %);   5521.255
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;        6610.003;        1418.315;        1627.130;        1432.354;          50.185 (  3.504 %);   5326.474
