     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;        6482.011;        1367.930;        1795.980;        1399.996;          88.418 (  6.316 %);   5449.584
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;       11793.113;        1367.375;        1616.800;        1388.185;          66.243 (  4.772 %);   5495.951
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;        7802.658;        1365.365;        1570.920;        1377.877;          48.990 (  3.555 %);   5537.064
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;        7614.440;        1417.640;        1634.590;        1440.041;          60.195 (  4.180 %);   5298.041
