     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          15.625;           0.015;           0.000;       1000;        200;       12533.966;        3219.345;        4553.205;        3378.253;         317.614 (  9.402 %);   2258.385
   UNROLL4;          15.625;           0.015;           0.000;       1000;        200;        9372.773;        3202.205;        4231.170;        3414.710;         262.792 (  7.696 %);   2234.273
   UNROLL8;          15.625;           0.015;           0.000;       1000;        200;        8010.985;        3197.520;        3553.665;        3244.983;          95.741 (  2.950 %);   2351.135
     CBLAS;          15.625;           0.015;           0.000;       1000;        200;        7660.960;        1419.810;        1622.430;        1440.030;          51.175 (  3.554 %);   5298.082
